Freq [GHz],"dB(S(1,1))","dB(S(2,2))","dB(S(3,3))","dB(S(4,4))"
4.76,-15.17091755,-27.1962262,-12.16637446,-16.26370723
4.77,-15.27297596,-26.72513143,-12.21402024,-16.23902541
4.78,-15.37930261,-26.27381747,-12.26355191,-16.21539592
4.79,-15.49004024,-25.84117156,-12.31498864,-16.19281138
4.8,-15.60533957,-25.42607872,-12.36834989,-16.17126104
4.81,-15.72536001,-25.0274546,-12.4236554,-16.15073065
4.82,-15.85027044,-24.64426424,-12.4809252,-16.13120219
4.83,-15.98025011,-24.27553186,-12.54017956,-16.1126538
4.84,-16.11548959,-23.92034489,-12.60143892,-16.09505952
4.85,-16.25619187,-23.57785442,-12.66472387,-16.07838916
4.86,-16.40257351,-23.24727354,-12.73005506,-16.06260812
4.87,-16.55486599,-22.92787443,-12.7974531,-16.04767721
4.88,-16.71331719,-22.61898476,-12.86693847,-16.03355252
4.89,-16.87819301,-22.31998385,-12.93853137,-16.02018524
4.9,-17.04977919,-22.03029881,-13.01225158,-16.00752154
4.91,-17.22838342,-21.74940075,-13.08811823,-15.99550246
4.92,-17.41433756,-21.47680119,-13.16614964,-15.98406375
4.93,-17.60800033,-21.2120487,-13.24636301,-15.97313586
4.94,-17.80976015,-20.95472578,-13.32877413,-15.96264382
4.95,-18.02003851,-20.70444605,-13.41339703,-15.9525072
4.96,-18.23929369,-20.4608516,-13.50024359,-15.94264015
4.97,-18.46802505,-20.22361064,-13.58932303,-15.93295137
4.98,-18.70677791,-19.99241536,-13.6806414,-15.92334421
4.99,-18.95614911,-19.76697994,-13.77420094,-15.91371676
5,-19.21679348,-19.54703885,-13.86999936,-15.90396197
5.01,-19.48943115,-19.33234519,-13.96802905,-15.89396789
5.02,-19.77485617,-19.12266931,-14.06827613,-15.88361785
5.03,-20.07394633,-18.91779745,-14.17071935,-15.87279085
5.04,-20.38767475,-18.71753063,-14.27532898,-15.8613618
5.05,-20.71712323,-18.52168355,-14.38206534,-15.84920203
5.06,-21.06349795,-18.33008366,-14.49087733,-15.8361797
5.07,-21.42814779,-18.14257028,-14.60170063,-15.82216038
5.08,-21.81258581,-17.95899383,-14.71445579,-15.80700761
5.09,-22.21851428,-17.77921514,-14.82904603,-15.79058357
5.1,-22.64785394,-17.60310483,-14.94535477,-15.77274981
5.11,-23.1027777,-17.43054271,-15.06324294,-15.75336798
5.12,-23.58574909,-17.26141733,-15.18254599,-15.73230071
5.13,-24.09956481,-17.09562549,-15.30307057,-15.70941243
5.14,-24.64739969,-16.93307185,-15.42459102,-15.68457028
5.15,-25.23284915,-16.77366858,-15.54684546,-15.65764509
5.16,-25.85995908,-16.61733504,-15.66953172,-15.62851226
5.17,-26.53322175,-16.46399752,-15.79230304,-15.59705278
5.18,-27.25749452,-16.31358899,-15.9147636,-15.56315416
5.19,-28.03775479,-16.16604892,-16.03646407,-15.52671137
5.2,-28.87851892,-16.02132307,-16.15689724,-15.48762774
5.21,-29.7825859,-15.87936341,-16.275494,-15.44581586
5.22,-30.74845643,-15.74012796,-16.39161979,-15.40119832
5.23,-31.76526958,-15.60358076,-16.50457198,-15.35370845
5.24,-32.80356668,-15.46969176,-16.61357846,-15.30329098
5.25,-33.80088929,-15.33843685,-16.71779779,-15.24990254
5.26,-34.64730924,-15.2097978,-16.81632158,-15.19351205
5.27,-35.1926109,-15.08376234,-16.9081794,-15.13410107
5.28,-35.30652072,-14.96032412,-16.99234685,-15.07166387
5.29,-34.96846537,-14.83948285,-17.06775715,-15.00620748
