Freq [GHz],S12_Simulated,S12_Measured,S13_Simulated,S13_Measured,S14_Simulated,S14_Measured
8.55,-27.72592,-29.38063,-32.97737,-41.40424,-28.20579,-28.04802
8.56,-27.608,-29.36728,-33.21443,-42.04759,-28.12751,-28.0481
8.57,-27.49392,-29.34824,-33.46432,-42.74352,-28.05587,-28.04468
8.58,-27.38357,-29.32445,-33.72798,-43.50053,-27.98907,-28.03813
8.59,-27.27688,-29.29679,-34.00643,-44.32902,-27.92577,-28.0288
8.6,-27.17377,-29.26615,-34.30082,-45.24178,-27.86501,-28.01702
8.61,-27.07416,-29.23328,-34.61241,-46.25439,-27.80607,-28.00311
8.62,-26.978,-29.19892,-34.94263,-47.38524,-27.74844,-27.98733
8.63,-26.88522,-29.16367,-35.29308,-48.65393,-27.69172,-27.96997
8.64,-26.79578,-29.12807,-35.66557,-50.0746,-27.63566,-27.95127
8.65,-26.70964,-29.09257,-36.06213,-51.63394,-27.58005,-27.93145
8.66,-26.62677,-29.05755,-36.48509,-53.22814,-27.52475,-27.91074
8.67,-26.54713,-29.02332,-36.9371,-54.53379,-27.46967,-27.88932
8.68,-26.4707,-28.9901,-37.4212,-54.97732,-27.41475,-27.86737
8.69,-26.39747,-28.95811,-37.94087,-54.26077,-27.35994,-27.84506
8.7,-26.32744,-28.92746,-38.50011,-52.79782,-27.30524,-27.82255
8.71,-26.2606,-28.89826,-39.10351,-51.13319,-27.25063,-27.79997
8.72,-26.19695,-28.87058,-39.75628,-49.53629,-27.19613,-27.77745
8.73,-26.13651,-28.84446,-40.46421,-48.08529,-27.14175,-27.75511
8.74,-26.07928,-28.8199,-41.23356,-46.78513,-27.08752,-27.73306
8.75,-26.02529,-28.79692,-42.07048,-45.61966,-27.03347,-27.71138
8.76,-25.97456,-28.77548,-42.9798,-44.56936,-26.97963,-27.69017
8.77,-25.92711,-28.75558,-43.96218,-43.61644,-26.92604,-27.66951
8.78,-25.88298,-28.73716,-45.00806,-42.74598,-26.87276,-27.64948
8.79,-25.84219,-28.72019,-46.08573,-41.94579,-26.81982,-27.63012
8.8,-25.80479,-28.70461,-47.1208,-41.20596,-26.76729,-27.61152
8.81,-25.77081,-28.6904,-47.97349,-40.51845,-26.7152,-27.59371
8.82,-25.74029,-28.67748,-48.44869,-39.87667,-26.66362,-27.57675
8.83,-25.71327,-28.66583,-48.39117,-39.27517,-26.61261,-27.56067
8.84,-25.68978,-28.65537,-47.81281,-38.70945,-26.56222,-27.54552
8.85,-25.66988,-28.64607,-46.88157,-38.17572,-26.51252,-27.53132
8.86,-25.65359,-28.63788,-45.78916,-37.67081,-26.46358,-27.5181
8.87,-25.64096,-28.63076,-44.6669,-37.192,-26.41546,-27.50589
8.88,-25.63201,-28.62465,-43.58284,-36.73698,-26.36822,-27.49472
8.89,-25.62679,-28.61953,-42.56525,-36.30378,-26.32195,-27.48459
8.9,-25.62532,-28.61536,-41.62213,-35.89067,-26.27671,-27.47552
8.91,-25.62762,-28.61209,-40.75223,-35.49617,-26.23257,-27.46752
8.92,-25.63372,-28.60969,-39.95062,-35.11898,-26.18961,-27.46061
8.93,-25.64363,-28.60814,-39.21125,-34.75796,-26.14791,-27.4548
8.94,-25.65736,-28.60741,-38.52807,-34.41212,-26.10754,-27.45008
8.95,-25.67492,-28.60748,-37.89548,-34.08058,-26.06859,-27.44646
8.96,-25.69631,-28.60832,-37.3085,-33.76255,-26.03113,-27.44394
8.97,-25.72152,-28.6099,-36.76277,-33.45734,-25.99523,-27.44253
8.98,-25.75053,-28.61223,-36.25448,-33.16434,-25.961,-27.44223
8.99,-25.78332,-28.61528,-35.78035,-32.88299,-25.92849,-27.44302
9,-25.81987,-28.61903,-35.33749,-32.6128,-25.89779,-27.44492
9.01,-25.86013,-28.62349,-34.92343,-32.35332,-25.86899,-27.44791
9.02,-25.90407,-28.62864,-34.53595,-32.10415,-25.84216,-27.452
9.03,-25.95162,-28.63448,-34.17315,-31.86492,-25.81738,-27.45718
9.04,-26.00273,-28.641,-33.83332,-31.6353,-25.79472,-27.46345
9.05,-26.05732,-28.64822,-33.51494,-31.41499,-25.77427,-27.4708
9.06,-26.11534,-28.65612,-33.21664,-31.20371,-25.75609,-27.47923
9.07,-26.17667,-28.66471,-32.93721,-31.0012,-25.74025,-27.48873
9.08,-26.24125,-28.674,-32.67552,-30.80721,-25.72682,-27.4993
9.09,-26.30895,-28.684,-32.43053,-30.62153,-25.71587,-27.51094
9.1,-26.37969,-28.69473,-32.20129,-30.44394,-25.70745,-27.52364
9.11,-26.45333,-28.70618,-31.9869,-30.27425,-25.70162,-27.53741
9.12,-26.52977,-28.71839,-31.78653,-30.11226,-25.69843,-27.55224
9.13,-26.60886,-28.73137,-31.59936,-29.95779,-25.69792,-27.56814
9.14,-26.69046,-28.74513,-31.42462,-29.81067,-25.70014,-27.5851
9.15,-26.77445,-28.7597,-31.26155,-29.67073,-25.70511,-27.60313
9.16,-26.86065,-28.77511,-31.10943,-29.5378,-25.71288,-27.62224
9.17,-26.94892,-28.79139,-30.96752,-29.41172,-25.72345,-27.64242
9.18,-27.03908,-28.80856,-30.83513,-29.29232,-25.73684,-27.66369
9.19,-27.13097,-28.82666,-30.71155,-29.17946,-25.75305,-27.68607
9.2,-27.2244,-28.84572,-30.59606,-29.07298,-25.7721,-27.70955
9.21,-27.3192,-28.86578,-30.48798,-28.9727,-25.79395,-27.73416
9.22,-27.41516,-28.88688,-30.38659,-28.87849,-25.81861,-27.75991
9.23,-27.51209,-28.90906,-30.29122,-28.79018,-25.84604,-27.78683
9.24,-27.60979,-28.93238,-30.20116,-28.70761,-25.87621,-27.81493
9.25,-27.70804,-28.95688,-30.11572,-28.63062,-25.90907,-27.84424
